set,filename,class,xmin,ymin,xmax,ymax
UNASSIGNED,image/120212.jpg,dress,0.195,0.172,0.581,0.564
UNASSIGNED,image/120212.jpg,hat,0.348,0.037000000000000005,0.556,0.124
UNASSIGNED,image/120212.jpg,shoe,0.331,0.7809999999999999,0.501,0.853
UNASSIGNED,image/120212.jpg,stocking,0.331,0.621,0.539,0.813
UNASSIGNED,image/120212.jpg,sweater,0.218,0.18,0.629,0.489
UNASSIGNED,image/15933.jpg,bag,0.32299999999999995,0.434,0.46399999999999997,0.623
UNASSIGNED,image/15933.jpg,blazer,0.391,0.22,0.7240000000000001,0.5379999999999999
UNASSIGNED,image/15933.jpg,shoe,0.45899999999999996,0.878,0.627,0.968
UNASSIGNED,image/15933.jpg,sunglass,0.591,0.149,0.672,0.21899999999999997
UNASSIGNED,image/67317.jpg,bag,0.28300000000000003,0.272,0.496,0.679
UNASSIGNED,image/67317.jpg,blouse,0.318,0.185,0.647,0.444
UNASSIGNED,image/67317.jpg,shoe,0.34600000000000003,0.851,0.556,1.0
UNASSIGNED,image/67317.jpg,shorts,0.45899999999999996,0.431,0.634,0.528
UNASSIGNED,image/67317.jpg,sunglass,0.406,0.06,0.544,0.139
UNASSIGNED,image/106357.jpg,blazer,0.251,0.18899999999999997,0.6990000000000001,0.48100000000000004
UNASSIGNED,image/106357.jpg,shoe,0.353,0.902,0.672,0.95
UNASSIGNED,image/106357.jpg,skirt,0.313,0.381,0.647,0.5660000000000001
UNASSIGNED,image/123917.jpg,T-shirt,0.363,0.187,0.732,0.406
UNASSIGNED,image/123917.jpg,shoe,0.511,0.9470000000000001,0.652,1.0
UNASSIGNED,image/123917.jpg,skirt,0.419,0.391,0.7090000000000001,0.638
UNASSIGNED,image/13302.jpg,bag,0.251,0.583,0.509,0.85
UNASSIGNED,image/13302.jpg,belt,0.456,0.36700000000000005,0.602,0.39899999999999997
UNASSIGNED,image/13302.jpg,blouse,0.298,0.18,0.662,0.39399999999999996
UNASSIGNED,image/13302.jpg,shoe,0.474,0.903,0.637,0.993
UNASSIGNED,image/137557.jpg,T-shirt,0.316,0.16,0.7340000000000001,0.456
UNASSIGNED,image/137557.jpg,bag,0.47100000000000003,0.608,0.769,0.895
UNASSIGNED,image/137557.jpg,shoe,0.401,0.8859999999999999,0.627,0.972
UNASSIGNED,image/174137.jpg,T-shirt,0.361,0.22699999999999998,0.509,0.361
UNASSIGNED,image/174137.jpg,shoe,0.436,0.888,0.629,0.968
UNASSIGNED,image/174137.jpg,skirt,0.18,0.381,0.669,0.653
UNASSIGNED,image/174137.jpg,sweater,0.281,0.20199999999999999,0.767,0.434
UNASSIGNED,image/49355.jpg,belt,0.373,0.341,0.622,0.419
UNASSIGNED,image/49355.jpg,blouse,0.321,0.22,0.637,0.379
UNASSIGNED,image/49355.jpg,shorts,0.358,0.397,0.657,0.5760000000000001
UNASSIGNED,image/98034.jpg,bag,0.271,0.581,0.569,0.78
UNASSIGNED,image/98034.jpg,coat,0.276,0.14400000000000002,0.81,0.619
UNASSIGNED,image/98034.jpg,dress,0.358,0.337,0.662,0.639
UNASSIGNED,image/98034.jpg,scarf,0.484,0.22,0.772,0.36700000000000005
UNASSIGNED,image/98034.jpg,shoe,0.461,0.9179999999999999,0.599,0.98
UNASSIGNED,image/98034.jpg,stocking,0.391,0.583,0.679,0.943
UNASSIGNED,image/171298.jpg,bag,0.619,0.544,0.7490000000000001,0.7759999999999999
UNASSIGNED,image/171298.jpg,blazer,0.556,0.581,0.825,0.826
UNASSIGNED,image/171298.jpg,blouse,0.366,0.18899999999999997,0.7140000000000001,0.414
UNASSIGNED,image/171298.jpg,skirt,0.34600000000000003,0.39399999999999996,0.7140000000000001,0.631
UNASSIGNED,image/182255.jpg,blouse,0.298,0.19399999999999998,0.7340000000000001,0.47200000000000003
UNASSIGNED,image/182255.jpg,shoe,0.39299999999999996,0.885,0.599,0.965
UNASSIGNED,image/182255.jpg,skirt,0.358,0.446,0.639,0.631
UNASSIGNED,image/182255.jpg,sunglass,0.358,0.43700000000000006,0.449,0.496
UNASSIGNED,image/20716.jpg,T-shirt,0.406,0.22899999999999998,0.642,0.414
UNASSIGNED,image/20716.jpg,bag,0.293,0.503,0.47100000000000003,0.706
UNASSIGNED,image/20716.jpg,shoe,0.429,0.8809999999999999,0.594,0.963
UNASSIGNED,image/20716.jpg,shorts,0.414,0.381,0.649,0.523
UNASSIGNED,image/107606.jpg,T-shirt,0.29600000000000004,0.26,0.679,0.43700000000000006
UNASSIGNED,image/48288.jpg,dress,0.39799999999999996,0.19,0.737,0.853
UNASSIGNED,image/48288.jpg,hat,0.361,0.078,0.677,0.23199999999999998
UNASSIGNED,image/48288.jpg,shoe,0.511,0.873,0.767,0.977
UNASSIGNED,image/20893.jpg,T-shirt,0.371,0.207,0.722,0.379
UNASSIGNED,image/20893.jpg,belt,0.41100000000000003,0.36700000000000005,0.649,0.424
UNASSIGNED,image/20893.jpg,hat,0.419,0.07200000000000001,0.599,0.129
UNASSIGNED,image/20893.jpg,scarf,0.451,0.18,0.629,0.294
UNASSIGNED,image/20893.jpg,shoe,0.434,0.861,0.602,0.958
UNASSIGNED,image/20893.jpg,skirt,0.35600000000000004,0.389,0.652,0.591
UNASSIGNED,image/20893.jpg,stocking,0.396,0.608,0.602,0.868
UNASSIGNED,image/1534.jpg,bag,0.28600000000000003,0.381,0.363,0.466
UNASSIGNED,image/1534.jpg,dress,0.271,0.195,0.627,0.579
UNASSIGNED,image/1534.jpg,shoe,0.371,0.866,0.564,0.958
UNASSIGNED,image/1534.jpg,socks,0.406,0.825,0.541,0.893
UNASSIGNED,image/46449.jpg,bag,0.201,0.409,0.32799999999999996,0.47700000000000004
UNASSIGNED,image/46449.jpg,dress,0.213,0.265,0.599,0.6509999999999999
UNASSIGNED,image/46449.jpg,shoe,0.293,0.828,0.569,0.963
UNASSIGNED,image/146291.jpg,belt,0.391,0.389,0.594,0.441
UNASSIGNED,image/146291.jpg,dress,0.316,0.22,0.622,0.711
UNASSIGNED,image/146291.jpg,shoe,0.39299999999999996,0.831,0.556,0.9620000000000001
UNASSIGNED,image/146291.jpg,stocking,0.35600000000000004,0.679,0.622,0.92
UNASSIGNED,image/156951.jpg,belt,0.401,0.47600000000000003,0.617,0.518
UNASSIGNED,image/156951.jpg,dress,0.363,0.312,0.687,0.948
UNASSIGNED,image/156951.jpg,shoe,0.652,0.915,0.7170000000000001,0.97
UNASSIGNED,image/41966.jpg,bag,0.195,0.381,0.419,0.613
UNASSIGNED,image/41966.jpg,dress,0.391,0.209,0.7090000000000001,0.648
UNASSIGNED,image/41966.jpg,shoe,0.451,0.8059999999999999,0.659,0.975
UNASSIGNED,image/187000.jpg,bag,0.311,0.26,0.419,0.638
UNASSIGNED,image/187000.jpg,shoe,0.436,0.866,0.614,0.993
UNASSIGNED,image/187000.jpg,skirt,0.35600000000000004,0.431,0.612,0.6459999999999999
